"","state","wave","covid","deport","wall","dreamers","grpfav","mortality","age","gender","no_highsch","college_deg","hispanic","black","household_income","china_tariffs","muslimban","economy","num_observations","representative","grpfav_avg"
"60","AZ",1,3.35897435897436,0.361538461538462,0.477272727272727,0.148148148148148,2.54411764705882,7.16239749735572,48.3273809523809,48.3273809523809,0.130952380952381,0.303571428571429,0.196428571428571,0.0595238095238095,9.78658536585366,0.666666666666667,0.194444444444444,0.63,168,1,2.40077330697704
"61","AZ",2,3.35454545454545,0.471698113207547,0.495412844036697,0.157894736842105,2.43859649122807,7.18841273649695,42.9393939393939,42.9393939393939,0.121212121212121,0.310606060606061,0.348484848484849,0.0681818181818182,9.46969696969697,0.7,0.394736842105263,0.92,132,1,2.40077330697704
"62","AZ",3,3.4031007751938,0.392523364485981,0.5,0.166666666666667,2.42201834862385,7.21303165983487,45.1510791366906,45.1510791366906,0.0863309352517986,0.316546762589928,0.266187050359712,0.0215827338129496,9.43307086614173,0.642857142857143,0.269230769230769,2.19,139,1,2.40077330697704
"63","AZ",5,3.42748091603053,0.535714285714286,0.543103448275862,0.191666666666667,2.28688524590164,7.18235211188526,45.1014492753623,45.1014492753623,0.0797101449275362,0.384057971014493,0.246376811594203,0.072463768115942,9.34090909090909,0.708333333333333,0.233333333333333,5.9,138,1,2.40077330697704
"64","AZ",6,3.40666666666667,0.442622950819672,0.453125,0.244274809160305,2.27131782945736,7.23273313617761,47.7733333333333,47.7733333333333,0.0266666666666667,0.333333333333333,0.166666666666667,0.06,9.77037037037037,0.653846153846154,0.297872340425532,6.81,150,1,2.40077330697704
"65","AZ",7,3.28148148148148,0.419642857142857,0.451327433628319,0.179487179487179,2.4297520661157,7.24708058458576,44.037037037037,44.037037037037,0.118518518518519,0.318518518518519,0.237037037037037,0.111111111111111,9.1796875,0.714285714285714,0.355555555555556,7.58,135,1,2.40077330697704
"66","AZ",8,3.28205128205128,0.425742574257426,0.490384615384615,0.185567010309278,2.22772277227723,7.26332961747684,45.5384615384615,45.5384615384615,0.0683760683760684,0.358974358974359,0.222222222222222,0.0683760683760684,9.81481481481481,0.727272727272727,0.147058823529412,7.93,117,1,2.40077330697704
"67","AZ",9,3.25,0.470588235294118,0.472868217054264,0.254098360655738,2.29365079365079,7.17472430983638,50.277027027027,50.277027027027,0.114864864864865,0.418918918918919,0.209459459459459,0.0540540540540541,9.44927536231884,0.65,0.386363636363636,7.99,148,1,2.40077330697704
"68","AZ",10,3.34375,0.385416666666667,0.419642857142857,0.172727272727273,2.49122807017544,7.16162200293919,45.8692307692308,45.8692307692308,0.0538461538461538,0.407692307692308,0.276923076923077,0.1,9.22131147540984,0.666666666666667,0.470588235294118,7.55,130,1,2.40077330697704
"69","AZ",11,3.15286624203822,0.452380952380952,0.477941176470588,0.261194029850746,2.29323308270677,7.1777824161952,47.9936708860759,47.9936708860759,0.10126582278481,0.392405063291139,0.19620253164557,0.0569620253164557,9.58108108108108,0.666666666666667,0.282051282051282,7.28,158,1,2.40077330697704
"70","AZ",12,3.24025974025974,0.411764705882353,0.536764705882353,0.210144927536232,2.2962962962963,7.24351297466548,47.373417721519,47.373417721519,0.113924050632911,0.30379746835443,0.278481012658228,0.0569620253164557,8.43421052631579,0.75,0.4,7.3,158,1,2.40077330697704
"71","AZ",13,3.26543209876543,0.371212121212121,0.436619718309859,0.142857142857143,2.44366197183099,7.28824440102012,46.9320987654321,46.9320987654321,0.0617283950617284,0.432098765432099,0.222222222222222,0.0555555555555556,10.8300653594771,0.724137931034483,0.288888888888889,7.26,162,1,2.40077330697704
"72","AZ",14,3.29936305732484,0.426356589147287,0.489051094890511,0.214814814814815,2.48888888888889,7.34601020991329,46.1320754716981,46.1320754716981,0.0817610062893082,0.289308176100629,0.207547169811321,0.0691823899371069,8.91333333333333,0.633333333333333,0.219512195121951,7.55,159,1,2.40077330697704
"73","AZ",15,3.34394904458599,0.421875,0.489795918367347,0.207142857142857,2.32413793103448,7.38832785957711,47.8853503184713,47.8853503184713,0.0764331210191083,0.286624203821656,0.210191082802548,0.0636942675159236,9.34666666666667,0.678571428571429,0.388888888888889,7.54,157,1,2.40077330697704
"74","AZ",16,3.43478260869565,0.3515625,0.517985611510791,0.156028368794326,2.43150684931507,7.48099216286952,47.5246913580247,47.5246913580247,0.0925925925925926,0.37037037037037,0.172839506172839,0.0555555555555556,8.97385620915033,0.52,0.2,7.51,162,1,2.40077330697704
"75","AZ",17,3.36231884057971,0.348214285714286,0.43801652892562,0.144067796610169,2.52586206896552,7.57763383260273,45.4710144927536,45.4710144927536,0.072463768115942,0.384057971014493,0.210144927536232,0.0507246376811594,9.5546875,0.53125,0.242424242424242,7.83,138,1,2.40077330697704
"76","AZ",18,3.34507042253521,0.333333333333333,0.405172413793103,0.159663865546218,2.56589147286822,7.59839932932396,46.330985915493,46.330985915493,0.0774647887323944,0.450704225352113,0.176056338028169,0.0704225352112676,10.9772727272727,0.645161290322581,0.342105263157895,7.89,142,1,2.40077330697704
"77","AZ",19,3.24161073825503,0.350877192982456,0.403361344537815,0.142857142857143,2.38888888888889,7.52994337060159,43.7046979865772,43.7046979865772,0.100671140939597,0.38255033557047,0.167785234899329,0.0738255033557047,8.62142857142857,0.620689655172414,0.27906976744186,7.94,149,1,2.40077330697704
